epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.022,1.27257,2.11139,1.29263,0.89441,0.60399,0.68171,0.40484,1.39635,1.50758,1.32803,0.000369389,0.000369389,0.000369389
2,508.09,1.1964,1.19754,1.2373,0.77857,0.65091,0.70542,0.44925,1.32651,1.34425,1.28378,0.000715311,0.000715311,0.000715311
3,808.689,1.16136,1.10284,1.21614,0.83085,0.62842,0.71988,0.47988,1.22809,1.35178,1.2173,0.00103679,0.00103679,0.00103679
4,1109.42,1.11135,1.02895,1.19839,0.74772,0.7132,0.74441,0.48412,1.21961,1.19601,1.21824,0.00100101,0.00100101,0.00100101
5,1414.86,1.07927,0.96315,1.17836,0.7349,0.71559,0.74405,0.50567,1.21189,1.23001,1.20651,0.000964348,0.000964348,0.000964348
6,1740.01,1.05628,0.89658,1.15919,0.73464,0.74526,0.76634,0.5145,1.22232,1.0812,1.20837,0.000927685,0.000927685,0.000927685
7,2062.39,1.03995,0.87434,1.15098,0.78838,0.72772,0.77714,0.5237,1.17325,0.9974,1.18366,0.000891022,0.000891022,0.000891022
8,2293.53,1.03614,0.8532,1.14794,0.78096,0.74529,0.78036,0.5284,1.1634,0.9697,1.17733,0.000854359,0.000854359,0.000854359
9,2493.86,1.00967,0.81443,1.13295,0.80287,0.74978,0.79777,0.55362,1.12137,0.90222,1.16263,0.000817696,0.000817696,0.000817696
10,2710.25,0.99478,0.78173,1.13168,0.79069,0.7844,0.82348,0.54982,1.18142,0.85632,1.18962,0.000781033,0.000781033,0.000781033
11,2914.57,0.99076,0.75944,1.13043,0.81014,0.7596,0.80539,0.55512,1.11989,0.85735,1.13612,0.00074437,0.00074437,0.00074437
12,3118.34,0.97577,0.73133,1.11194,0.80445,0.794,0.8267,0.53367,1.24547,0.82066,1.20391,0.000707707,0.000707707,0.000707707
13,3319.34,0.96558,0.72411,1.10964,0.77868,0.78121,0.81895,0.56703,1.09844,0.78419,1.1341,0.000671044,0.000671044,0.000671044
14,3520.71,0.95382,0.70348,1.10332,0.83225,0.78608,0.83245,0.57872,1.0814,0.77249,1.1267,0.000634381,0.000634381,0.000634381
15,3723.26,0.95666,0.69954,1.10532,0.78401,0.8007,0.82705,0.56287,1.11954,0.78155,1.13808,0.000597718,0.000597718,0.000597718
16,3925.42,0.95183,0.68642,1.09791,0.81742,0.8096,0.84456,0.58289,1.10659,0.73982,1.1299,0.000561055,0.000561055,0.000561055
17,4127.52,0.92102,0.66428,1.09063,0.82337,0.80237,0.83642,0.585,1.05276,0.74027,1.11473,0.000524392,0.000524392,0.000524392
18,4329.9,0.90487,0.64561,1.08564,0.8653,0.82756,0.8688,0.60408,1.07768,0.69484,1.12241,0.000487729,0.000487729,0.000487729
19,4532.33,0.90673,0.64,1.07698,0.80826,0.81868,0.84548,0.58918,1.059,0.71975,1.10703,0.000451066,0.000451066,0.000451066
20,4735.19,0.88164,0.614,1.0669,0.8506,0.81717,0.86781,0.61778,1.03411,0.67273,1.09329,0.000414403,0.000414403,0.000414403
21,4934.12,0.83774,0.52494,1.03228,0.87898,0.81909,0.873,0.63411,0.96688,0.66976,1.07145,0.00037774,0.00037774,0.00037774
22,5131.89,0.82351,0.50224,1.01857,0.82913,0.82862,0.87721,0.63656,0.97446,0.6468,1.06833,0.000341077,0.000341077,0.000341077
23,5329.37,0.80333,0.49009,1.00887,0.83333,0.87357,0.89214,0.6432,0.9747,0.63171,1.06123,0.000304414,0.000304414,0.000304414
24,5526.6,0.7984,0.48263,1.00509,0.83281,0.86424,0.88816,0.65348,0.93651,0.61296,1.04401,0.000267751,0.000267751,0.000267751
25,5725.08,0.78215,0.47036,0.99952,0.89921,0.81683,0.89083,0.655,0.92704,0.6183,1.04841,0.000231088,0.000231088,0.000231088
26,5926,0.7696,0.44987,0.99205,0.86175,0.83222,0.89351,0.65911,0.91455,0.58973,1.03489,0.000194425,0.000194425,0.000194425
27,6125.36,0.76452,0.44605,0.98791,0.88216,0.83841,0.89229,0.66235,0.91401,0.58255,1.0377,0.000157762,0.000157762,0.000157762
28,6323.89,0.74714,0.43697,0.98018,0.87019,0.8502,0.89475,0.65761,0.91673,0.58454,1.04063,0.000121099,0.000121099,0.000121099
29,6520.51,0.74092,0.42848,0.97985,0.86864,0.85298,0.89612,0.6618,0.8967,0.57807,1.03058,8.4436e-05,8.4436e-05,8.4436e-05
30,6718.26,0.72862,0.4228,0.97194,0.86144,0.86541,0.89759,0.6654,0.88835,0.57093,1.02875,4.7773e-05,4.7773e-05,4.7773e-05
